SurrogateId,Period,[Australian dollar ],[Brazilian real ],[Canadian dollar ],[Swiss franc ],[Chinese yuan renminbi ],[Czech koruna ],[Danish krone ],[UK pound sterling ],[Hong Kong dollar ],[Croatian kuna ],[Hungarian forint ],[Indonesian rupiah ],[Israeli shekel ],[Indian rupee ],[Iceland krona ],[Japanese yen ],[Korean won ],[Mexican peso ],[Malaysian ringgit ],[Norwegian krone ],[New Zealand dollar ],[Philippine peso ],[Polish zloty ],[Romanian leu ],[Russian rouble ],[Swedish krona ],[Singapore dollar ],[Thai baht ],[Turkish lira ],[US dollar ],[South African rand ],[EU euro ]
736,2017/03/21,1.293186447,3.07119052,1.328365118,0.995186077,6.889279763,25.01481207,6.883262359,0.803119793,7.765784114,6.85780411,285.4008517,13318.99648,3.614700981,65.25921126,0,112.5532309,1118.320681,18.98518793,4.425476764,8.447787447,1.417237549,50.06017404,3.94630624,4.225698945,57.22181078,8.787539345,1.396778374,34.65469358,3.607850398,1,12.57378263,0.92575449
737,2017/03/20,1.294828869,3.107886905,1.33547247,0.99702381,6.907366071,25.13113839,6.914620536,0.807226563,7.765718006,6.887555804,287.0535714,13313.50446,3.631324405,65.36504836,0,112.7139137,1115.662202,19.1140253,4.426525298,8.489397321,1.420293899,50.06138393,3.982514881,4.241536458,57.53004092,8.84281994,1.397879464,34.72470238,3.633463542,1,12.67596726,0.930059524
738,2017/03/17,1.29831424,3.105336686,1.331470616,0.9963677,6.905187669,25.16624756,6.924001118,0.809052808,7.763062308,6.904442582,287.370774,13345.00326,3.630343671,65.42889075,0,113.150787,1129.915246,19.15898296,4.435503399,8.477507684,1.42665549,50.16950731,4.00316662,4.250069852,57.69907795,8.811586104,1.402160753,34.84958555,3.622613393,1,12.75998882,0.931358853
739,2017/03/16,1.300111878,3.099384673,1.331064703,0.997109827,6.89949655,25.19205668,6.931101995,0.809341786,7.763844863,6.919634533,289.0546336,13316.99608,3.628379638,65.37432407,0,113.3227671,1127.3168,19.09099385,4.439492821,8.538877494,1.431195227,50.07365281,4.006526198,4.242774566,57.9709118,8.841879545,1.401734104,34.99533843,3.638821555,1,12.70464292,0.932314003
740,2017/03/15,1.317266052,3.158821314,1.345415176,1.008755413,6.913763886,25.43871211,6.998587837,0.819742045,7.769440783,6.994727923,292.6285069,13360.31821,3.657503295,65.66324609,0,114.6394276,1145.99887,19.58294107,4.449067972,8.600357748,1.438241386,50.26360384,4.067595556,4.276313312,59.0693843,9.000470721,1.412257579,35.25983807,3.718414611,1,13.0530032,0.94144229
741,2017/03/14,1.323770106,3.159721569,1.348697206,1.00893613,6.914777537,25.41717618,6.992568902,0.823657229,7.769541906,6.985231869,292.8416894,13370.24739,3.663531182,65.76709623,0,114.8810084,1149.910639,19.60944408,4.449534381,8.607844982,1.447559025,50.30665036,4.065562976,4.273821842,59.37738689,8.93312012,1.414636441,35.32499295,3.741510676,1,13.16000376,0.940645283
742,2017/03/13,1.320266342,3.151927225,1.34577511,1.008065272,6.913345212,25.34089843,6.971771546,0.818325049,7.765544406,6.971115071,293.0038451,13355.99737,3.658351308,66.1610241,0,114.7425678,1146.919253,19.637813,4.449967176,8.562130732,1.442839726,50.34324299,4.06789834,4.272718747,59.04060771,8.969802119,1.413579668,35.32964457,3.746787958,1,13.13898528,0.937822376
743,2017/03/10,1.328964737,3.176881011,1.350367716,1.012917217,6.914576655,25.47708844,7.008391477,0.822647558,7.766075806,6.995097115,294.4276824,13375.231,3.685272487,66.6344522,0,115.425231,1156.213464,19.77003583,4.453234018,8.618234961,1.447105412,50.2366585,4.078729021,4.289081652,59.11408637,9.030548746,1.418159532,35.4101452,3.752687158,1,13.26428437,0.942862531
744,2017/03/09,1.331058667,3.168988721,1.352667994,1.014974884,6.91043503,25.6098948,7.045493318,0.821277604,7.766941522,7.043123875,294.8914795,13397.64003,3.690455881,66.72305943,0,114.633684,1158.51578,19.78675007,4.454743626,8.573405364,1.447919628,50.34309544,4.091650081,4.312292674,59.34053644,9.053644204,1.420339304,35.33977822,3.753483082,1,13.26689413,0.947777462
745,2017/03/08,1.323228496,3.140488822,1.344543388,1.013830997,6.911045851,25.5977643,7.041966654,0.821835923,7.766388784,7.030409246,294.3349754,13399.77264,3.683118606,66.7828723,0,114.2951876,1152.292535,19.62201592,4.460212202,8.479821902,1.441739295,50.39598333,4.085827965,4.310629026,58.50445244,9.020746495,1.415971959,35.27472527,3.735695339,1,13.06441834,0.947328534
746,2017/03/07,1.316187595,3.117813918,1.341811649,1.014561271,6.900151286,25.54935703,7.029122542,0.819875189,7.764750378,7.005484115,292.6626324,13347.00265,3.676720877,66.63199697,0,114.0412254,1149.498865,19.4897882,4.447617247,8.457167171,1.432772315,50.33755673,4.072900908,4.291225416,58.01437216,9.003214826,1.410741301,35.08982602,3.677571861,1,12.95745083,0.945537065
747,2017/03/06,1.315804381,3.105740181,1.339029456,1.009629909,6.896714502,25.51076284,7.018221299,0.814765861,7.763878399,6.994901813,292.2488671,13348.11178,3.677303625,66.64983006,0,113.8123112,1154.418429,19.52973943,4.447979607,8.466106495,1.423621601,50.27473565,4.068259063,4.27586858,58.11952417,9.000660876,1.410120846,35.03021148,3.712990937,1,12.99509063,0.944108761
748,2017/03/03,1.320965452,3.131093232,1.340369143,1.010411737,6.897491718,25.57595835,7.036157123,0.81736867,7.76441079,7.019687648,293.1187885,13382.49882,3.704022717,66.81684808,0,114.3681969,1153.478467,19.65309986,4.45451964,8.452721249,1.420823474,50.35210601,4.070705159,4.290392806,58.74377662,9.027449124,1.413440606,35.06010412,3.728159016,1,13.08282063,0.946521533
749,2017/03/02,1.316340118,3.108902416,1.338120601,1.013030245,6.885961575,25.70001902,7.070192125,0.813772113,7.763172912,7.056591212,293.2566102,13358.50295,3.691268784,66.7681187,0,114.3618033,1145.415636,19.92533765,4.449020354,8.44873502,1.409834506,50.40612517,4.084173483,4.300932091,58.66511318,9.054118318,1.411451398,35.00475556,3.706676812,1,13.1062393,0.951112802
750,2017/03/01,1.305610937,3.110984525,1.333333333,1.010823127,6.880470901,25.65365993,7.057153707,0.812209247,7.763505174,7.045001424,292.3668471,13361.99563,3.633722586,66.83376056,0,113.7757524,1143.957087,20.04177347,4.447925567,8.413367512,1.404443179,50.332289,4.078420203,4.291939618,58.3110225,9.044716605,1.409095225,35.00522168,3.649292699,1,13.08202791,0.949397133
751,2017/02/28,1.30291592,3.09615929,1.31961876,1.004812683,6.867981504,25.49872605,7.014438049,0.804991979,7.761819383,7.017552137,290.8842125,13336.00075,3.659715014,66.64999528,0,112.1355101,1126.960461,19.89242238,4.440030197,8.369632915,1.387845617,50.25762008,4.071718411,4.265546853,58.27592715,9.028498632,1.399547042,34.8702463,3.622817779,1,13.01406058,0.943663301
752,2017/02/27,1.303107585,3.109096061,1.311891943,1.007273071,6.872201757,25.52281099,7.020969113,0.805516199,7.760838765,7.016151884,290.6300179,13362.89789,3.673373005,66.69689242,0,112.2792104,1133.512799,19.79210352,4.438462265,8.348257297,1.38858978,50.2436951,4.075564371,4.262680646,57.7147445,9.025030698,1.405308397,34.85501086,3.598753188,1,12.9550392,0.944554642
753,2017/02/24,1.302290508,3.088886794,1.310868131,1.003770384,6.868979169,25.46988406,7.007635027,0.796521821,7.761428975,7.001131115,290.8756716,13317.30606,3.698840607,66.60806862,0,112.206617,1129.427844,19.69356207,4.440475068,8.329248751,1.386652842,50.19794514,4.063248186,4.257705722,58.10491092,8.97238194,1.403713828,34.88170421,3.581016118,1,12.91507211,0.942595909
754,2017/02/23,1.294902109,3.065544311,1.311642864,1.008512248,6.875342854,25.55660645,7.030644093,0.800416154,7.759103377,7.029225385,291.5066679,13327.43781,3.698571834,66.72325735,0,112.8345786,1135.240707,19.8760995,4.448973801,8.329707746,1.384375296,50.17308238,4.074529462,4.275040197,57.87676156,8.982786343,1.41170907,34.98534002,3.571077272,1,12.8799773,0.945805353
755,2017/02/22,1.302102159,3.083991249,1.31684581,1.012270522,6.878245981,25.70246362,7.070484162,0.803291163,7.760391896,7.084561971,292.5235423,13356.19709,3.707885475,66.98658803,0,112.9934367,1142.661467,20.03091411,4.45362884,8.385142205,1.395605441,50.28821459,4.088937506,4.300199753,57.81442024,9.007894987,1.417768477,35.00998763,3.602301912,1,13.10501284,0.951203272
756,2017/02/21,1.306064345,3.096042517,1.313466831,1.009680175,6.884786941,25.64392142,7.054474708,0.805352567,7.76150707,7.072221695,291.2593717,13372.49692,3.702287179,66.93556041,0,113.6661289,1147.100693,20.43057796,4.457910221,8.364619911,1.400493499,50.2894562,4.086931764,4.284995729,57.73844548,8.986428775,1.422511151,35.03463984,3.626554048,1,13.15991269,0.949036728
757,2017/02/20,1.303221552,3.097588546,1.31103994,1.003202713,6.877449133,25.45308968,7.001978146,0.802044084,7.761115298,7.016296157,290.3730219,13358.75094,3.707799548,66.93905426,0,113.1405426,1147.654484,20.46655991,4.45883572,8.342878674,1.391484552,50.35983421,4.073662396,4.259419744,58.04587415,8.928504145,1.418330821,35.01978146,3.624811605,1,13.11002261,0.941974378
758,2017/02/17,1.304413146,3.091830986,1.307887324,0.998779343,6.867042254,25.37183099,6.97971831,0.804882629,7.761408451,6.98685446,289.5023474,13332.49765,3.706103286,67.1,0,112.7511737,1150.00939,20.4741784,4.452957746,8.323474178,1.390516432,50.05539906,4.066197183,4.24629108,58.18478873,8.871173709,1.416525822,34.99530516,3.672957746,1,13.08516432,0.938967136
759,2017/02/16,1.296282388,3.041870071,1.301633496,0.999530605,6.855801727,25.36706722,6.979064964,0.799004882,7.761453248,6.993522343,289.3728877,13319.99624,3.716015772,66.99680811,0,113.5467518,1139.447991,20.27553511,4.453529854,8.326135937,1.38424709,49.92114157,4.05332332,4.245493804,57.17470897,8.894855426,1.417949681,35,3.664663913,1,12.94001127,0.938790837
